asin,brand,category,currency,image_filename,image_url,name,price,product_id,rating,reviews,source,url
B0FT2Y37NH,800+ bought in past month,setting_spray,USD,prod_001240.jpg,https://m.media-amazon.com/images/I/511wrFDNO0L._AC_UL320_.jpg,SHEGLAM Light Me Up Luminous Waterproof Makeup Long Lasting Setting Spray,$7.99,prod_001240,,4,amazon,https://www.amazon.com/SHEGLAM-Luminous-Waterproof-Lasting-Setting/dp/B0FT2Y37NH/ref=sr_1_145
B0FB2VFL6P,200+ bought in past month,setting_spray,USD,prod_001241.jpg,https://m.media-amazon.com/images/I/61QvBn30s8L._AC_UL320_.jpg,"IONSGAKO Glow Makeup Setting Spray, Shimmer Dewy Hydrating Setting Spray for Makeup Glowing Long-Lasting Radiant Finish, Lightweight Formula, All-Day Wear, 4 Fl Oz",$9.98,prod_001241,,",",amazon,https://www.amazon.com/IONSGAKO-Setting-Hydrating-Long-Lasting-Lightweight/dp/B0FB2VFL6P/ref=sr_1_146
B002LC9OES,4 Fl Oz (Pack of 1),setting_spray,USD,prod_001242.jpg,https://m.media-amazon.com/images/I/61gkFcU2s7L._AC_UL320_.jpg,"Mario Badescu Facial Spray with Aloe, Herbs and Rose Water for All Skin Types, Face Mist that Hydrates, Rejuvenates & Clarifies",$5.10,prod_001242,,4,amazon,https://www.amazon.com/Mario-Badescu-Facial-Spray-Rosewater/dp/B002LC9OES/ref=sr_1_147
B0B9XLT7YH,3.53 Ounce (Pack of 1),setting_spray,USD,prod_001243.jpg,https://m.media-amazon.com/images/I/61MYpqMG7yL._AC_UL320_.jpg,"The Beauty Crop Oui Cherie Mist - Hydrating Dual-Phase Setting Spray with Cherry Extract and Hyaluronic Acid, Vegan Friendly - 100 ml",$18.00,prod_001243,,",",amazon,https://www.amazon.com/Oui-Cherie-Mist-TikTok-Hydration/dp/B0B9XLT7YH/ref=sr_1_148
B0DZ1VZ43S,Oil Control0.04 Ounce (Pack of 2),setting_spray,USD,prod_001244.jpg,https://m.media-amazon.com/images/I/61bhA69RO1L._AC_UL320_.jpg,"2PCS Makeup Setting Spray for Face,Waterproof Setting Spray for Makeup,Long Lasting Oil Control Finishing Holding Face Mist,Refreshing Hydrating Glossy and Matte Fixing Facial Mist Make Up Set A1",$8.98,prod_001244,,2,amazon,https://www.amazon.com/Setting-Waterproof-Finishing-Refreshing-Hydrating/dp/B0DZ1VZ43S/ref=sr_1_149
B0G22LHN9R,0.6 Ounce (Pack of 5),setting_spray,USD,prod_001245.jpg,https://m.media-amazon.com/images/I/71kbOOcplZL._AC_UL320_.jpg,"Milk Makeup Mini Must-Haves Set – Includes 12HR Hydrating Face Primer (.33oz) + 12HR Setting Spray for Gripping Makeup (1.69oz) and Multi-Use Cream Blush Stick + Lip Color in Werk (Dusty Rose, 0.10oz)",$35.00,prod_001245,,12,amazon,https://www.amazon.com/Milk-Makeup-Mini-Must-Haves-Set/dp/B0G22LHN9R/ref=sr_1_150
B0B64RR2H4,4.2 Fl Oz (Pack of 1),setting_spray,USD,prod_001246.jpg,https://m.media-amazon.com/images/I/61Y9RvZxh3L._AC_UL320_.jpg,"Redken Thermal Spray 22 High Hold - Thermal Heat Protectant and Setting Mist, For Curling and Flat Irons, Lasting Frizz Control & Protects Against Heat Damage",$29.00,prod_001246,,4,amazon,https://www.amazon.com/REDKEN-Thermal-Setting-Curling-Protects/dp/B0B64RR2H4/ref=sr_1_151
B0C15R2GHW,($12.79$12.79/fluid ounce),setting_spray,USD,prod_001247.jpg,https://m.media-amazon.com/images/I/61WTFfJpTjL._AC_UL320_.jpg,Caliray Surfproof Setting Spray With Pump (5.7 oz),$43.48,prod_001247,,3,amazon,https://www.amazon.com/caliray-Surfproof-Hydrating-Setting-Niacinamide/dp/B0C15R2GHW/ref=sr_1_152
B0D3DWXZHZ,($4.71$4.71/fluid ounce),setting_spray,USD,prod_001248.jpg,https://m.media-amazon.com/images/I/71cxidsIcZL._AC_UL320_.jpg,"Get a Grip Makeup Setting Spray Lock Makeup Matte Finishing Spray, Oil Control Hydrate Make Up Spray for Long-Lasting Lightweight Makeup",$9.98,prod_001248,,4,amazon,https://www.amazon.com/Setting-Finishing-Control-Long-Lasting-Lightweight/dp/B0D3DWXZHZ/ref=sr_1_153
B0DZV1RBGX,100+ bought in past month,setting_spray,USD,prod_001249.jpg,https://m.media-amazon.com/images/I/41eM6Osn8cL._AC_UL320_.jpg,One Size On 'Til Dawn Glitter Waterproof Setting Spray 3.4 oz / 143 mL Limited Edition 2025,$44.99,prod_001249,,2,amazon,https://www.amazon.com/One-Size-Glitter-Waterproof-Setting/dp/B0DZV1RBGX/ref=sr_1_154
B0DZ2521HJ,50+ bought in past month,setting_spray,USD,prod_001250.jpg,https://m.media-amazon.com/images/I/71D0+0RIGQL._AC_UL320_.jpg,"2PCS Dewy and Matte Setting Spray,Long-lasting Makeup Setting Spray for 12 HR Wear,Hydrating Oil Control Face Makeup Mist Set,Waterproofing Facial Mist for Natural Finish, 2.03 Fl Oz",$7.98,prod_001250,,2,amazon,https://www.amazon.com/LZYLLS-Setting-Long-lasting-Hydrating-Waterproofing/dp/B0DZ2521HJ/ref=sr_1_155
B0FP5R4N7V,50+ bought in past month,setting_spray,USD,prod_001251.jpg,https://m.media-amazon.com/images/I/61Y4GkSJ-2L._AC_UL320_.jpg,"L.A. Girl Cosmetics PRO Perfect Setting Spray, Dewy Finish, Alcohol-Free, Birch Sap + Water Base, Micro Mist Formula, Hydrating, Pore-Blurring, Fragrance-Free GFS300",$9.99,prod_001251,,",",amazon,https://www.amazon.com/L-Girl-Alcohol-Free-Pore-Blurring-Fragrance-Free/dp/B0FP5R4N7V/ref=sr_1_156
B0C5T25JJP,Hydrating1.69 Fl Oz (Pack of 1),setting_spray,USD,prod_001252.jpg,https://m.media-amazon.com/images/I/513KXIpDtnL._AC_UL320_.jpg,"d'alba Piedmont Italian White Truffle First Spray Serum, Vegan Skin Care, Hydrating Face Moisturizer, Glow Serum for Radiant Skin, Non Comedogenic, All In One Mist (1.69 fl oz.)",$13.29,prod_001252,,",",amazon,https://www.amazon.com/dp/B0C5T25JJP
B07MJKS28D,Hydrating1.52 Fl Oz (Pack of 1),setting_spray,USD,prod_001253.jpg,https://m.media-amazon.com/images/I/71yazCv99yL._AC_UL320_.jpg,"wet n wild Photo Focus Primer Water, Rose Addiction, 1.52 Ounces",$5.47,prod_001253,,4,amazon,https://www.amazon.com/wet-wild-Photo-Primer-Addiction/dp/B07MJKS28D/ref=sr_1_149
B00016WUEW,4 Fl Oz (Pack of 1),setting_spray,USD,prod_001254.jpg,https://m.media-amazon.com/images/I/51RyHOcb2RL._AC_UL320_.jpg,"HERITAGE STORE Rosewater & Glycerin Hydrating Facial Mist - Dry Combination Skin Care - Rose Water Spray w/Vegetable Glycerine, Made Without Dyes or Alcohol, Hypoallergenic, 4 Fl Oz",$9.09,prod_001254,,",",amazon,https://www.amazon.com/Heritage-Products-Rosewater-Glycerin-Ounce/dp/B00016WUEW/ref=sr_1_150
B09GGBV5D2,50+ bought in past month,setting_spray,USD,prod_001255.jpg,https://m.media-amazon.com/images/I/61yXe0qao5L._AC_UL320_.jpg,Catrice | Ultra Last2 Fixing Spray Clear,$8.00,prod_001255,,4,amazon,https://www.amazon.com/Catrice-4059729358073-Ultra-Last2-Fixing/dp/B09GGBV5D2/ref=sr_1_151
B09QPN81ZF,2.22 Fl Oz (Pack of 3),setting_spray,USD,prod_001256.jpg,https://m.media-amazon.com/images/I/61M28u8o0LL._AC_UL320_.jpg,UCANBEMAKEUP Long Lasting Makeup Setting Spray Kit- 6.76 Fl oz Hydrating Matte Finish Mist Lightweight Face Make up Fixer +Travel Size Spray Bottle+Sponge Puff Makeup Set,$14.99,prod_001256,,6,amazon,https://www.amazon.com/UCANBE-Lasting-Setting-Hydrating-Lightweight/dp/B09QPN81ZF/ref=sr_1_152
