2026-04-29 16:39:59 | api | INFO | search_by_image:164 | Image decode: 0.01s
2026-04-29 16:39:59 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-04-29 16:39:59 | api | INFO | search_by_image:171 | Starting embedder...
2026-04-29 16:40:01 | api | INFO | search_by_image:173 | Embedder + search: 2.55s
2026-05-01 22:48:21 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 22:48:24 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 22:50:17 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 22:50:17 | api | INFO | search_by_image:164 | Image decode: 0.05s
2026-05-01 22:50:17 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 22:50:17 | api | INFO | search_by_image:168 | Engine load: 0.11s
2026-05-01 22:50:17 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 22:50:21 | api | INFO | search_by_image:173 | Embedder + search: 3.63s
2026-05-01 23:22:41 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:22:48 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 23:23:03 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:23:03 | api | INFO | search_by_image:164 | Image decode: 0.05s
2026-05-01 23:23:03 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 23:23:03 | api | INFO | search_by_image:168 | Engine load: 0.15s
2026-05-01 23:23:03 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:23:09 | api | INFO | search_by_image:173 | Embedder + search: 6.06s
2026-05-01 23:28:09 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:28:13 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 23:28:19 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:28:19 | api | INFO | search_by_image:164 | Image decode: 0.06s
2026-05-01 23:28:19 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 23:28:20 | api | INFO | search_by_image:168 | Engine load: 0.17s
2026-05-01 23:28:20 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:28:27 | api | INFO | search_by_image:173 | Embedder + search: 7.39s
2026-05-01 23:29:05 | api | INFO | search_by_text:208 | Engine load: 0.00s
2026-05-01 23:29:05 | api | INFO | search_by_text:212 | Text search: 0.10s
2026-05-01 23:34:21 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:35:59 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:39:40 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:39:45 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 23:40:25 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:40:25 | api | INFO | search_by_image:164 | Image decode: 0.05s
2026-05-01 23:40:25 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 23:40:26 | api | INFO | search_by_image:168 | Engine load: 0.11s
2026-05-01 23:40:26 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:40:32 | api | INFO | search_by_image:173 | Embedder + search: 6.12s
2026-05-01 23:40:48 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:40:48 | api | INFO | search_by_image:164 | Image decode: 0.00s
2026-05-01 23:40:48 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-01 23:40:48 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:40:48 | api | INFO | search_by_image:173 | Embedder + search: 0.23s
2026-05-01 23:44:09 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:44:15 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 23:44:20 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:44:20 | api | INFO | search_by_image:164 | Image decode: 0.04s
2026-05-01 23:44:20 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 23:44:21 | api | INFO | search_by_image:168 | Engine load: 0.12s
2026-05-01 23:44:21 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:44:26 | api | INFO | search_by_image:173 | Embedder + search: 5.26s
2026-05-01 23:56:02 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-01 23:56:08 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-01 23:57:11 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:57:11 | api | INFO | search_by_image:164 | Image decode: 0.05s
2026-05-01 23:57:11 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-01 23:57:11 | api | INFO | search_by_image:168 | Engine load: 0.11s
2026-05-01 23:57:11 | api | INFO | search_by_image:171 | Starting embedder...
